Abbreviation	Description	Charged formula	Charge	Compartment	Neutral formula	KEGG ID	PubChem ID	ChEBI ID	InChI string	LM ID
2Fe-2S-Fdox[m]	(2Fe-2S)-ferredoxin oxidized	Fe2S2X	2	Mitochondrion	Fe2S2X	C22151	405226342	CHEBI:33737		
2Fe-2S-Fdrd[m]	(2Fe-2S)-ferredoxin reduced	Fe2S2X	1	Mitochondrion	Fe2S2X	C22150	405226341	CHEBI:33738		
2PGA[c]	2-Phosphoglycerate 	C3H4O7P	-3	Cytosol	C3H7O7P	C00631	40467846	CHEBI:58289	InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/p-3/t2-/m1/s1	
2PGA[h]	2-Phosphoglycerate 	C3H4O7P	-3	Chloroplast	C3H7O7P	C00631	40467846	CHEBI:58289	InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/p-3/t2-/m1/s1	
5M-THF[c]	5-Methyltetrahydrofolate	C20H24N7O6	-1	Cytosol	C20H25N7O6	C00440	3729	CHEBI:15641	InChI=1S/C20H25N7O6/c1-27-12(9-23-16-15(27)18(31)26-20(21)25-16)8-22-11-4-2-10(3-5-11)17(30)24-13(19(32)33)6-7-14(28)29/h2-5,12-13,22H,6-9H2,1H3,(H,24,30)(H,28,29)(H,32,33)(H4,21,23,25,26,31)/t12-,13-/m0/s1	
6PG[h]	6-Phospho-D-gluconate	C6H10O10P	-3	Chloroplast	C6H13O10P	C00345	36688186	CHEBI:58759	InChI=1S/C6H13O10P/c7-2(1-16-17(13,14)15)3(8)4(9)5(10)6(11)12/h2-5,7-10H,1H2,(H,11,12)(H2,13,14,15)/p-3/t2-,3-,4+,5-/m1/s1	
A-ACP[m]	Acetyl-(acyl-carrier-protein)	C2H3OSR	-1	Mitochondrion	C2H3OSR	C03939	6663	CHEBI:17093		
AC[c]	Acetate	C2H3O2	-1	Cytosol	C2H4O2	C00033	175	CHEBI:30089	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1	
AC[h]	Acetate	C2H3O2	-1	Chloroplast	C2H4O2	C00033	175	CHEBI:30089	InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1	
A-CoA[c]	[FA0705] CoA 2:0 [Acetyl coenzyme A]	C23H34N7O17P3S	-4	Cytosol	C23H38N7O17P3S	C00024	45266541	CHEBI:57288	InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/p-4/t13-,16-,17-,18+,22-/m1/s1	LMFA07050281
A-CoA[h]	[FA0705] CoA 2:0 [Acetyl coenzyme A]	C23H34N7O17P3S	-4	Chloroplast	C23H38N7O17P3S	C00024	45266541	CHEBI:57288	InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/p-4/t13-,16-,17-,18+,22-/m1/s1	LMFA07050281
A-CoA[m]	[FA0705] CoA 2:0 [Acetyl coenzyme A]	C23H34N7O17P3S	-4	Mitochondrion	C23H38N7O17P3S	C00024	45266541	CHEBI:57288	InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/p-4/t13-,16-,17-,18+,22-/m1/s1	LMFA07050281
A-CoA[px]	[FA0705] CoA 2:0 [Acetyl coenzyme A]	C23H34N7O17P3S	-4	Peroxisome	C23H38N7O17P3S	C00024	45266541	CHEBI:57288	InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/p-4/t13-,16-,17-,18+,22-/m1/s1	LMFA07050281
ACP[h]	holo-[acyl-carrier-protein]	HRS	-1	Chloroplast	HRS	C00229	3528	CHEBI:18359		
